Week of Year,Proportion,,Day of Week,Proportion
1,1.00%,,1,11%
2,1.00%,,2,15%
3,1.25%,,3,19%
4,1.25%,,4,23%
5,1.00%,,5,14%
6,1.00%,,6,10%
7,0.75%,,7,8%
8,0.75%,,,
9,1.00%,,,
10,1.25%,,,
11,1.50%,,,
12,2.00%,,,
13,2.00%,,,
14,2.25%,,,
15,2.00%,,,
16,2.25%,,,
17,2.00%,,,
18,1.75%,,,
19,1.50%,,,
20,1.25%,,,
21,2.50%,,,
22,3.75%,,,
23,4.25%,,,
24,4.00%,,,
25,3.25%,,,
26,2.50%,,,
27,2.25%,,,
28,2.00%,,,
29,1.75%,,,
30,1.75%,,,
31,1.00%,,,
32,0.75%,,,
33,0.75%,,,
34,1.00%,,,
35,1.25%,,,
36,1.00%,,,
37,0.75%,,,
38,1.00%,,,
39,1.00%,,,
40,1.50%,,,
41,1.50%,,,
42,1.75%,,,
43,1.75%,,,
44,2.50%,,,
45,5.00%,,,
46,7.50%,,,
47,5.00%,,,
48,2.50%,,,
49,1.75%,,,
50,2.00%,,,
51,1.00%,,,
52,1.00%,,,
