Scenario,Market_Growth_Percent,Tsukumo_Share_Growth_Percent,Future_Market_Demand,Future_Tsukumo_Share_Percent,Annual_Tsukumo_Demand
1,7.238382825999136,21.72262270552362,2144767.6565199825,4.38201441739885,93984.02792841307
2,10.667977113844128,18.159697629191438,2213359.5422768826,4.2537491146508914,94150.76193364391
3,8.893841907631,20.071686081496086,2177876.83815262,4.322580698933858,94140.48385253613
4,8.198908766037484,20.485659344167978,2163978.1753207496,4.3374837363900465,93862.2014135676
5,6.090100938325281,16.52398183584972,2121802.0187665056,4.19486334609059,89006.69516184632
6,6.089939369793697,20.570241834487117,2121798.787395874,4.340528706041536,92097.28545135913
7,5.275280808571032,17.919966812202592,2105505.6161714206,4.245118805239293,89381.21485746242
8,9.805083429352647,16.803490961791596,2196101.6685870527,4.204925674624497,92344.44290327396
9,8.210559463819958,23.401337078264046,2164211.1892763996,4.442448134817505,96143.95961152116
10,8.758181498087476,23.689123062117563,2175163.6299617495,4.452808430236232,96855.86948636922
11,4.759187618630908,21.904821072348653,2095183.752372618,4.388573558604551,91948.68016080337
12,10.95920928032183,18.902651465179606,2219184.185606437,4.280495452746465,94992.0781529522
13,9.543973751934882,17.209888164663358,2190879.4750386975,4.21955597392788,92445.38577055515
14,6.438338594000376,21.02654449195764,2128766.771880008,4.356955601710475,92749.42311477725
15,6.256346401109283,19.691228483774808,2125126.928022186,4.308884225415892,91569.25897161331
16,6.266125829669692,17.470204797630945,2125322.516593394,4.228927372714714,89878.34566268725
17,6.918695393984622,19.975826112874476,2138373.9078796925,4.319129740063481,92359.14340898946
18,7.863725291855069,16.31126887241363,2157274.505837101,4.18720567940689,90329.52062880802
19,7.477709091051067,22.8706855807418,2149554.1818210217,4.423344680906704,95082.19056478779
20,6.855593795613299,18.597082022973737,2137111.875912266,4.2694949528270545,91243.88367834176
21,8.2619128166943,20.892216439209474,2165238.256333886,4.352119791811541,94233.76269378216
22,5.9763168010865995,18.947854329185734,2119526.3360217316,4.282122755850686,90760.71955103485
23,6.860078698040686,20.101367645851603,2137201.5739608137,4.323649235250658,92405.09950832173
24,7.20283181141679,20.239276732172303,2144056.6362283356,4.328613962358202,92807.93491664734
25,7.574903326684634,18.040184661542185,2151498.0665336926,4.249446647815518,91426.7624661317
