State,Expected_Demand_Share,Mode,Mean,Sigma,Robust_68_Min,Robust_68_Max,Robust_95_Min,Robust_95_Max,Robust_99_Min,Robust_99_Max,Variability_Included,Mode_Revenue,Mode_Weight_lb,Mean_Revenue,Mean_Weight_lb,Sigma_Revenue,Sigma_Weight_lb,Robust_68_Min_Revenue,Robust_68_Min_Weight_lb,Robust_68_Max_Revenue,Robust_68_Max_Weight_lb,Robust_95_Min_Revenue,Robust_95_Min_Weight_lb,Robust_95_Max_Revenue,Robust_95_Max_Weight_lb,Robust_99_Min_Revenue,Robust_99_Min_Weight_lb,Robust_99_Max_Revenue,Robust_99_Max_Weight_lb
CA,0.11836796528217743,10994.01661540864,10966.551137018281,371.6406213260584,10594.910515692223,11338.19175834434,10353.344111830285,11579.758162206277,10100.628489328565,11832.473784707998,Market growth + Tsukumo share growth + ZIP3 PMF,32982049.84622592,659640.9969245184,32899653.411054842,657993.0682210969,1114921.8639781752,22298.437279563506,31784731.54707667,635694.6309415334,34014575.27503302,680291.5055006604,31060032.335490856,621200.6467098171,34739274.48661883,694785.4897323766,30301885.467985693,606037.7093597138,35497421.354123995,709948.4270824798
NY,0.07459944372210993,6928.79633290957,6911.486671426433,273.01584895404017,6638.470822472393,7184.502520380473,6461.010520652267,7361.962822200599,6275.359743363519,7547.613599489347,Market growth + Tsukumo share growth + ZIP3 PMF,20786388.99872871,415727.7799745742,20734460.0142793,414689.20028558595,819047.5468621205,16380.95093724241,19915412.467417177,398308.2493483436,21553507.561141416,431070.15122282837,19383031.5619568,387660.631239136,22085888.466601796,441717.7693320359,18826079.230090555,376521.58460181113,22642840.79846804,452856.8159693608
FL,0.06868240050919486,6379.221359294018,6363.284657311466,265.5601564926729,6097.724500818793,6628.8448138041385,5925.110399098556,6801.458915524376,5744.529492683538,6982.039821939394,Market growth + Tsukumo share growth + ZIP3 PMF,19137664.077882055,382753.28155764105,19089853.971934397,381797.07943868794,796680.4694780187,15933.609389560374,18293173.50245638,365863.4700491276,19886534.441412415,397730.6888282483,17775331.197295666,355506.62394591334,20404376.746573128,408087.53493146255,17233588.478050612,344671.7695610123,20946119.46581818,418922.3893163636
TX,0.06463981794767962,6003.746290980483,5988.747608534887,235.6066486366572,5753.14095989823,6224.354257171544,5599.996638284403,6377.498578785371,5439.784117211476,6537.711099858298,Market growth + Tsukumo share growth + ZIP3 PMF,18011238.87294145,360224.77745882893,17966242.825604662,359324.8565120932,706819.9459099716,14136.398918199433,17259422.87969469,345188.4575938938,18673062.77151463,373461.2554302927,16799989.914853208,335999.7982970642,19132495.736356113,382649.9147271223,16319352.351634428,326387.04703268857,19613133.299574897,392262.6659914979
CO,0.04899963416867771,4551.086021586786,4539.7164048988,313.63321749809757,4226.083187400702,4853.349622396898,4022.2215960269386,5057.211213770661,3808.9510081282324,5270.481801669367,Market growth + Tsukumo share growth + ZIP3 PMF,13653258.064760359,273065.16129520716,13619149.2146964,272382.98429392796,940899.6524942927,18817.993049885852,12678249.562202105,253564.99124404212,14560048.867190693,291200.97734381387,12066664.788080815,241333.29576161632,15171633.641311983,303432.67282623966,11426853.024384698,228537.06048769393,15811445.405008102,316228.90810016205
PA,0.041570448623565244,3861.06326815674,3851.4174805010493,152.77103345364986,3698.6464470473993,4004.1885139546994,3599.345275302527,4103.489685699572,3495.460972554045,4207.373988448054,Market growth + Tsukumo share growth + ZIP3 PMF,11583189.80447022,231663.7960894044,11554252.441503149,231085.04883006297,458313.1003609496,9166.262007218991,11095939.341142198,221918.78682284395,12012565.541864099,240251.31083728196,10798035.825907582,215960.71651815163,12310469.057098716,246209.38114197433,10486382.917662134,209727.6583532427,12622121.96534416,252442.43930688323
IL,0.036005963721254045,3344.233910430076,3335.879276503974,181.0397665109771,3154.8395099929967,3516.919043014951,3037.1636617608615,3634.5948912470863,2914.056620533397,3757.7019324745506,Market growth + Tsukumo share growth + ZIP3 PMF,10032701.731290227,200654.03462580455,10007637.829511922,200152.75659023842,543119.2995329313,10862.385990658626,9464518.52997899,189290.3705995798,10550757.129044853,211015.14258089705,9111490.985282585,182229.8197056517,10903784.673741259,218075.69347482518,8742169.86160019,174843.39723200383,11273105.797423651,225462.11594847305
NJ,0.03535107214429457,3283.4075807620793,3275.2049044235914,169.32138169951062,3105.8835227240806,3444.526286123102,2995.824624619399,3554.585184227784,2880.6860850637318,3669.723723783451,Market growth + Tsukumo share growth + ZIP3 PMF,9850222.742286239,197004.45484572474,9825614.713270774,196512.2942654155,507964.14509853185,10159.282901970637,9317650.568172242,186353.01136344485,10333578.858369306,206671.57716738613,8987473.873858197,179749.47747716395,10663755.552683352,213275.11105366703,8642058.255191196,172841.1651038239,11009171.171350352,220183.42342700707
OH,0.033301286338433274,3093.0234751136823,3085.2964202629973,129.83560016634482,2955.4608200966527,3215.132020429342,2871.067679988528,3299.5251605374665,2782.779471875414,3387.8133686505807,Market growth + Tsukumo share growth + ZIP3 PMF,9279070.425341047,185581.40850682094,9255889.260788992,185117.78521577985,389506.80049903446,7790.136009980689,8866382.460289959,177327.64920579916,9645396.061288025,192907.9212257605,8613203.039965585,172264.0607993117,9898575.4816124,197971.509632248,8348338.415626242,166966.76831252483,10163440.105951741,203268.80211903484
MI,0.03133761260843671,2910.637459071602,2903.366044716792,147.6350245889151,2755.731020127877,3051.0010693057075,2659.768254145082,3146.963835288502,2559.3764374246202,3247.355652008964,Market growth + Tsukumo share growth + ZIP3 PMF,8731912.377214806,174638.24754429611,8710098.134150377,174201.96268300753,442905.0737667453,8858.101475334905,8267193.060383631,165343.86120767263,9153003.207917122,183060.06415834246,7979304.762435246,159586.09524870492,9440891.505865507,188817.83011731014,7678129.312273861,153562.5862454772,9742066.956026893,194841.33912053786
