Week,Week_Factor,Mode,Mean,Sigma,Robust_68_Min,Robust_68_Max,Robust_95_Min,Robust_95_Max,Robust_99_Min,Robust_99_Max,Variability_Included
1,0.01,928.8000000000001,926.4796527400904,186.39139222524102,740.0882605148494,1112.8710449653313,618.9338555684427,1234.0254499117382,492.1877088552788,1360.771596624902,Market growth + Tsukumo share growth + week seasonality
2,0.01,928.8000000000001,926.4796527400904,186.39139222524102,740.0882605148494,1112.8710449653313,618.9338555684427,1234.0254499117382,492.1877088552788,1360.771596624902,Market growth + Tsukumo share growth + week seasonality
3,0.0125,1161.0,1158.099565925113,232.98924028155216,925.1103256435608,1391.0888062066651,773.6673194605519,1542.531812389674,615.2346360690965,1700.9644957811295,Market growth + Tsukumo share growth + week seasonality
4,0.0125,1161.0,1158.099565925113,232.98924028155216,925.1103256435608,1391.0888062066651,773.6673194605519,1542.531812389674,615.2346360690965,1700.9644957811295,Market growth + Tsukumo share growth + week seasonality
5,0.01,928.8000000000001,926.4796527400904,186.39139222524102,740.0882605148494,1112.8710449653313,618.9338555684427,1234.0254499117382,492.1877088552788,1360.771596624902,Market growth + Tsukumo share growth + week seasonality
6,0.01,928.8000000000001,926.4796527400904,186.39139222524102,740.0882605148494,1112.8710449653313,618.9338555684427,1234.0254499117382,492.1877088552788,1360.771596624902,Market growth + Tsukumo share growth + week seasonality
7,0.0075,696.6,694.8597395550678,139.793544168931,555.0661953861368,834.6532837239988,464.20039167633166,925.5190874338039,369.14078164145855,1020.5786974686771,Market growth + Tsukumo share growth + week seasonality
8,0.0075,696.6,694.8597395550678,139.793544168931,555.0661953861368,834.6532837239988,464.20039167633166,925.5190874338039,369.14078164145855,1020.5786974686771,Market growth + Tsukumo share growth + week seasonality
9,0.01,928.8000000000001,926.4796527400904,186.39139222524102,740.0882605148494,1112.8710449653313,618.9338555684427,1234.0254499117382,492.1877088552788,1360.771596624902,Market growth + Tsukumo share growth + week seasonality
10,0.0125,1161.0,1158.099565925113,232.98924028155216,925.1103256435608,1391.0888062066651,773.6673194605519,1542.531812389674,615.2346360690965,1700.9644957811295,Market growth + Tsukumo share growth + week seasonality
11,0.015,1393.2,1389.7194791101356,279.587088337862,1110.1323907722735,1669.3065674479976,928.4007833526633,1851.0381748676077,738.2815632829171,2041.1573949373542,Market growth + Tsukumo share growth + week seasonality
12,0.02,1857.6000000000001,1852.9593054801808,372.78278445048204,1480.1765210296987,2225.7420899306626,1237.8677111368854,2468.0508998234764,984.3754177105576,2721.543193249804,Market growth + Tsukumo share growth + week seasonality
13,0.02,1857.6000000000001,1852.9593054801808,372.78278445048204,1480.1765210296987,2225.7420899306626,1237.8677111368854,2468.0508998234764,984.3754177105576,2721.543193249804,Market growth + Tsukumo share growth + week seasonality
14,0.0225,2089.7999999999997,2084.5792186652034,419.38063250679215,1665.1985861584112,2503.9598511719955,1392.6011750289963,2776.5572623014104,1107.4223449243777,3061.736092406029,Market growth + Tsukumo share growth + week seasonality
15,0.02,1857.6000000000001,1852.9593054801808,372.78278445048204,1480.1765210296987,2225.7420899306626,1237.8677111368854,2468.0508998234764,984.3754177105576,2721.543193249804,Market growth + Tsukumo share growth + week seasonality
16,0.0225,2089.7999999999997,2084.5792186652034,419.38063250679215,1665.1985861584112,2503.9598511719955,1392.6011750289963,2776.5572623014104,1107.4223449243777,3061.736092406029,Market growth + Tsukumo share growth + week seasonality
17,0.02,1857.6000000000001,1852.9593054801808,372.78278445048204,1480.1765210296987,2225.7420899306626,1237.8677111368854,2468.0508998234764,984.3754177105576,2721.543193249804,Market growth + Tsukumo share growth + week seasonality
18,0.0175,1625.4,1621.3393922951584,326.184936394172,1295.1544559009865,1947.5243286893303,1083.1342472447745,2159.5445373455423,861.3284904967377,2381.350294093579,Market growth + Tsukumo share growth + week seasonality
