Day_of_Year,Week,Day,Week_Factor,Day_Factor,Mode,Mean,Sigma,Robust_68_Min,Robust_68_Max,Robust_95_Min,Robust_95_Max,Robust_99_Min,Robust_99_Max,Variability_Included
1,1,1,0.01,0.11,102.168,101.91276180140994,25.75894753087016,76.15381427053978,127.6717093322801,59.410498375474184,144.4150252273457,41.89441405448247,161.93110954833742,Market growth + Tsukumo share growth + week seasonality + day seasonality
2,1,2,0.01,0.15,139.32,138.97194791101356,35.125837542095645,103.84611036891792,174.0977854531092,81.01431596655576,196.92957985547136,57.1287464379307,220.8151493840964,Market growth + Tsukumo share growth + week seasonality + day seasonality
3,1,3,0.01,0.19,176.472,176.03113402061717,44.492727553321174,131.538406467296,220.52386157393835,102.61813355763724,249.4441344835971,72.36307882137883,279.6991892198555,Market growth + Tsukumo share growth + week seasonality + day seasonality
4,1,4,0.01,0.23,213.62400000000002,213.0903201302208,53.859617564546646,159.23070256567414,266.9499376947674,124.22195114871883,301.9586891117227,87.5974112048271,338.5832290556145,Market growth + Tsukumo share growth + week seasonality + day seasonality
5,1,5,0.01,0.14,130.032,129.70715138361268,32.78411503928922,96.92303634432346,162.4912664229019,75.61336156878548,183.8009411984399,53.320163342068795,206.09413942515658,Market growth + Tsukumo share growth + week seasonality + day seasonality
6,1,6,0.01,0.1,92.88000000000001,92.64796527400904,23.417225028063825,69.23074024594521,116.06519030207286,54.00954397770373,131.28638657031433,38.08583095862033,147.21009958939774,Market growth + Tsukumo share growth + week seasonality + day seasonality
7,1,7,0.01,0.08,74.304,74.11837221920723,18.733780022451025,55.3845921967562,92.85215224165826,43.207635182163045,105.02910925625142,30.46866476689634,117.76807967151812,Market growth + Tsukumo share growth + week seasonality + day seasonality
8,2,1,0.01,0.11,102.168,101.91276180140994,25.75894753087016,76.15381427053978,127.6717093322801,59.410498375474184,144.4150252273457,41.89441405448247,161.93110954833742,Market growth + Tsukumo share growth + week seasonality + day seasonality
9,2,2,0.01,0.15,139.32,138.97194791101356,35.125837542095645,103.84611036891792,174.0977854531092,81.01431596655576,196.92957985547136,57.1287464379307,220.8151493840964,Market growth + Tsukumo share growth + week seasonality + day seasonality
10,2,3,0.01,0.19,176.472,176.03113402061717,44.492727553321174,131.538406467296,220.52386157393835,102.61813355763724,249.4441344835971,72.36307882137883,279.6991892198555,Market growth + Tsukumo share growth + week seasonality + day seasonality
11,2,4,0.01,0.23,213.62400000000002,213.0903201302208,53.859617564546646,159.23070256567414,266.9499376947674,124.22195114871883,301.9586891117227,87.5974112048271,338.5832290556145,Market growth + Tsukumo share growth + week seasonality + day seasonality
